,id,cluster
1027,470,2
1028,107,0
1029,1693,2
1030,692,7
1031,638,6
1032,604,5
1033,2388,1
1034,1820,7
1035,365,0
1036,2478,7
1037,923,0
1038,544,7
1039,380,0
1040,1936,5
1041,1515,5
1042,665,5
1043,1299,2
1044,661,5
1045,1960,6
1046,855,5
1047,1594,7
1048,390,1
1049,253,0
1050,461,7
1051,1120,7
1052,1186,1
1053,2121,7
1054,1842,5
1055,1853,5
1056,176,1
1057,761,1
1058,1541,0
1059,666,5
1060,409,1
1061,1604,1
1062,619,6
1063,781,6
1064,1990,6
1065,977,5
1066,814,0
1067,719,6
1068,2391,5
1069,1311,6
1070,1243,7
1071,1758,5
1072,54,6
1073,1799,2
1074,363,3
1075,1943,2
1076,445,1
1077,976,2
1078,900,7
1079,2283,5
1080,2386,1
1081,1614,1
1082,1698,7
1083,1351,3
1084,1971,4
1085,1014,1
1086,1682,5
1087,1639,0
1088,1601,5
1089,2005,0
1090,1001,0
1091,509,1
1092,193,0
1093,554,2
1094,1274,6
1095,875,1
1096,1840,1
1097,2251,0
1098,2447,5
1099,2368,1
1100,873,6
1101,109,0
1102,2373,7
1103,279,4
1104,373,7
1105,93,0
1106,1686,6
1107,2488,2
1108,867,1
1109,1338,5
1110,1055,6
1111,1231,0
1112,2213,6
1113,1293,3
1114,64,5
1115,733,0
1116,1344,1
1117,1011,0
1118,1411,7
1119,450,0
1120,406,0
1121,569,7
1122,825,1
1123,1426,0
1124,2001,7
1125,1340,5
1126,1544,7
1127,514,6
1128,2402,7
1129,2100,5
1130,2084,5
1131,877,3
1132,1103,3
1133,1994,2
1134,404,6
1135,1452,4
1136,793,7
1137,2327,0
1138,180,2
1139,623,5
1140,614,0
1141,1740,0
1142,1923,1
1143,1432,7
1144,357,7
1145,828,0
1146,540,0
1147,1405,6
1148,523,1
1149,2319,7
1150,2426,2
1151,2449,5
1152,1942,2
1153,2054,5
1154,909,5
1155,443,3
1156,712,0
1157,464,2
1158,1017,7
1159,1578,7
1160,1089,1
1161,979,3
1162,1567,5
1163,645,6
1164,1385,5
1165,934,5
1166,1709,5
1167,1477,5
1168,529,0
1169,565,2
1170,1250,6
1171,1140,7
1172,1117,1
1173,423,1
1174,1392,4
1175,219,5
1176,574,5
1177,1692,6
1178,1321,1
1179,413,5
1180,1281,6
1181,505,1
1182,2232,1
1183,1548,1
1184,944,0
1185,1226,1
1186,1658,6
1187,2313,6
1188,1553,1
1189,653,5
1190,752,3
1191,1045,6
1192,70,4
1193,287,1
1194,748,4
1195,1178,7
1196,1114,7
1197,344,1
1198,1619,0
1199,813,6
1200,649,6
1201,2345,4
1202,789,7
1203,1464,0
1204,1187,5
1205,1436,6
1206,587,2
1207,2418,5
1208,1868,0
1209,1938,3
1210,1531,7
1211,2103,7
1212,718,7
1213,2296,0
1214,31,5
1215,1399,7
1216,1625,4
1217,2499,1
1218,1835,2
1219,836,7
1220,872,1
1221,800,1
1222,713,7
1223,1320,0
1224,173,3
1225,182,5
1226,1998,6
1227,1588,7
1228,473,0
1229,945,0
1230,5,7
1231,1352,2
1232,1370,0
1233,1689,2
1234,504,0
1235,2083,3
1236,1909,2
1237,86,0
1238,1393,5
1239,1256,5
1240,1358,3
1241,1158,2
1242,2179,7
1243,1667,1
1244,2404,2
1245,1814,6
1246,1378,1
1247,2263,1
1248,622,7
1249,2145,1
1250,571,5
1251,1294,6
1252,379,3
1253,1148,0
1254,2262,1
1255,1739,6
